accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0.9108911156654358,0.30193114280700684,0.945302426815033,0.9613874554634094,0.9478908181190491,0.21423400938510895,0.9478908181190491,1.0
0.9443069100379944,0.21200037002563477,0.9454770684242249,0.9986910820007324,0.9478908181190491,0.18240118026733398,0.9478908181190491,1.0
0.9461633563041687,0.18580085039138794,0.9472377300262451,0.9986910820007324,0.9503722190856934,0.1672789603471756,0.9502487778663635,1.0
0.9498762488365173,0.17370688915252686,0.9530369639396667,0.996073305606842,0.9528536200523376,0.17034469544887543,0.9526184797286987,1.0
0.9523515105247498,0.16080418229103088,0.9531542658805847,0.9986910820007324,0.9528536200523376,0.1633872091770172,0.9526184797286987,1.0
0.9523515105247498,0.15936677157878876,0.9548589587211609,0.9967277646064758,0.9528536200523376,0.16758117079734802,0.9548872113227844,0.9973822236061096
0.9542078971862793,0.13688381016254425,0.9560853242874146,0.9973822236061096,0.9528536200523376,0.1518251597881317,0.9571788311004639,0.9947643876075745
0.9542078971862793,0.13225312530994415,0.9583858847618103,0.9947643876075745,0.9454094171524048,0.1671452522277832,0.9545454382896423,0.9895287752151489
0.9560643434524536,0.12541143596172333,0.9590421915054321,0.996073305606842,0.9503722190856934,0.1557154357433319,0.9547738432884216,0.9947643876075745
0.9616336822509766,0.1185222864151001,0.9621689915657043,0.9986910820007324,0.9528536200523376,0.15285973250865936,0.9548872113227844,0.9973822236061096
